miRNA	CellType	pvalue	OddsRatio	Total_Targets	Total_Markers	Number_of_Markers_Targeted	Markers_Targeted	FDR	FDR.bonf
hsa-miR-661	Cerebelllar Oligodendrocyte Precursor Cell	1	0.855710495268019	450	157	3	PARD3, SH3D19, SSBP2	1	1
hsa-miR-661	Microglia	1	0.720298598940973	450	62	1	C3	1	1
hsa-miR-659-3p	Excitatory Neuron	1	0.948862603357604	61	698	2	DYNLL1, CHRM2	1	1
hsa-miR-659-3p	Granule cell	1	0	61	122	0		1	1
hsa-miR-659-3p	Inhibitory Neuron	0.665209101261385	1.32862803207951	61	504	2	HMBOX1, GPR155	1	1
hsa-miR-659-3p	Purkinje Cell	1	0	61	215	0		1	1
hsa-miR-659-3p	Endothelial cell	0.132407217880152	7.29246923690284	61	47	1	DUSP1	1	1
hsa-miR-659-3p	Pericyte	1	0	61	59	0		1	1
hsa-miR-659-3p	Astrocyte	1	0	61	136	0		1	1
hsa-miR-659-3p	Cerebellar Astrocyte	1	0	61	169	0		1	1
hsa-miR-659-3p	Oligodendrocyte	0.343620022928848	2.42016200452781	61	139	1	MAP7	1	1
hsa-miR-659-3p	Oligodendrocyte Precursor Cell	1	0	61	114	0		1	1
hsa-miR-659-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.378580271698727	2.13901403804619	61	157	1	BBX	1	1
hsa-miR-659-3p	Microglia	1	0	61	62	0		1	1
hsa-miR-562	Excitatory Neuron	0.800608197061249	0.742147874792819	116	698	3	BASP1, MAP1B, RBFOX1	1	1
hsa-miR-562	Granule cell	0.154915709616395	2.92408093217334	116	122	2	PDE3B, FOXN3	1	1
hsa-miR-562	Inhibitory Neuron	0.766325049475496	1.03981093504666	116	504	3	KIF3A, SOX6, RBFOX1	1	1
hsa-miR-562	Purkinje Cell	0.638364106719018	0	116	215	0		1	1
hsa-miR-562	Endothelial cell	1	0	116	47	0		1	1
hsa-miR-562	Pericyte	1	0	116	59	0		1	1
hsa-miR-562	Astrocyte	0.543585541821577	1.28745104645888	116	136	1	SOX6	1	1
hsa-miR-562	Cerebellar Astrocyte	0.622987687161559	1.03287889639637	116	169	1	SOX6	1	1
hsa-miR-562	Oligodendrocyte	1	0	116	139	0		1	1
hsa-miR-562	Oligodendrocyte Precursor Cell	0.481654395929531	1.53974977346438	116	114	1	SOX6	1	1
hsa-miR-562	Cerebelllar Oligodendrocyte Precursor Cell	0.227201425328974	2.25995427433043	116	157	2	SOX6, EYA1	1	1
hsa-miR-562	Microglia	0.300168360356613	2.85955270115659	116	62	1	C3	1	1
hsa-miR-559	Excitatory Neuron	0.659453882809743	1.1284398341621	155	698	6	SHISA9, HSP90AA1, TRIM37, YWHAE, EFNA5, GRM5	1	1
hsa-miR-559	Granule cell	0.239924420304044	2.17469203783559	155	122	2	ZBTB20, CLIP1	1	1
hsa-miR-559	Inhibitory Neuron	0.289123073510686	1.58366526988904	155	504	6	SHISA9, HMBOX1, KIF3A, NHS, MCC, GRM5	1	1
hsa-miR-559	Purkinje Cell	1	0.602936760829026	155	215	1	ZBTB20	1	1
hsa-miR-559	Endothelial cell	1	0	155	47	0		1	1
hsa-miR-559	Pericyte	0.365071715607036	2.24190938354793	155	59	1	ZBTB20	1	1
hsa-miR-559	Astrocyte	0.279621465971208	1.94606376106798	155	136	2	ZBTB20, MKLN1	1	1
hsa-miR-559	Cerebellar Astrocyte	0.371978192948801	1.55892972112556	155	169	2	ZBTB20, MCC	1	1
hsa-miR-559	Oligodendrocyte	0.288124566419473	1.90317697191187	155	139	2	PTBP2, ZBTB20	1	1
hsa-miR-559	Oligodendrocyte Precursor Cell	0.217357994724919	2.33079703808404	155	114	2	ZBTB20, SHISA9	1	1
hsa-miR-559	Cerebelllar Oligodendrocyte Precursor Cell	0.119677941818826	2.55404064071085	155	157	3	ZBTB20, PTBP2, MKLN1	1	1
hsa-miR-559	Microglia	1	0	155	62	0		1	1
hsa-miR-548d-3p	Excitatory Neuron	0.124440379087372	1.56034580752685	267	698	14	ATRNL1, CELF2, PDE4D, GABRB3, ACTB, ACSL3, TRPC3, NEGR1, PTEN, PPIA, YWHAZ, CDK5R1, ATP9A, KIAA1456	1	1
hsa-miR-548d-3p	Granule cell	0.676906219307399	1.24853578162071	267	122	2	NRXN1, KIAA1456	1	1
hsa-miR-548d-3p	Inhibitory Neuron	0.691408357350967	0.744741676590316	267	504	5	NR2F2, KIAA1456, TRPC3, ATRNL1, KIAA1324	1	1
hsa-miR-548d-3p	Purkinje Cell	1	0.700125155203527	267	215	2	SYT2, PTPRB	1	1
hsa-miR-548d-3p	Endothelial cell	0.0240305205239198	5.14491405081096	267	47	3	PTPRB, PTPRG, TJP1	0.88234335238802	1
hsa-miR-548d-3p	Pericyte	0.00763661745600269	5.50713560537355	267	59	4	GPC5, TJP1, PTEN, PTPRG	0.687326567999172	1
hsa-miR-548d-3p	Astrocyte	0.0094191781985434	3.50821743124478	267	136	6	GPC5, PITPNC1, CABLES1, NRXN1, NAV2, MYO6	0.713196938113576	1
hsa-miR-548d-3p	Cerebellar Astrocyte	0.490838152476173	1.35580680416304	267	169	3	PITPNC1, MYO6, NAV2	1	1
hsa-miR-548d-3p	Oligodendrocyte	0.0372606217052592	2.82499671750616	267	139	5	EDIL3, FRMD5, TJP1, AGAP1, MYO6	1	1
hsa-miR-548d-3p	Oligodendrocyte Precursor Cell	0.190940320593543	2.03315268684702	267	114	3	AGAP1, NAV2, ABHD2	1	1
hsa-miR-548d-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.154102172036085	1.97003668637113	267	157	4	MKRN3, ATF7IP, RSRC1, NAV2	1	1
hsa-miR-548d-3p	Microglia	1	0	267	62	0		1	1
hsa-miR-532-5p	Excitatory Neuron	1	0.982255333977039	59	698	2	THSD7A, TENM4	1	1
hsa-miR-532-5p	Granule cell	1	0	59	122	0		1	1
hsa-miR-532-5p	Inhibitory Neuron	0.181580230314311	2.10412126597929	59	504	3	RAB3C, THSD7A, TENM4	1	1
hsa-miR-532-5p	Purkinje Cell	0.467952501508819	1.60853756095614	59	215	1	RAB3C	1	1
hsa-miR-532-5p	Endothelial cell	1	0	59	47	0		1	1
hsa-miR-532-5p	Pericyte	1	0	59	59	0		1	1
hsa-miR-532-5p	Astrocyte	1	0	59	136	0		1	1
hsa-miR-532-5p	Cerebellar Astrocyte	1	0	59	169	0		1	1
hsa-miR-532-5p	Oligodendrocyte	0.334483202581681	2.50367946442075	59	139	1	MAN2A1	1	1
hsa-miR-532-5p	Oligodendrocyte Precursor Cell	1	0	59	114	0		1	1
hsa-miR-532-5p	Cerebelllar Oligodendrocyte Precursor Cell	1	0	59	157	0		1	1
hsa-miR-532-5p	Microglia	0.165796446535515	5.68515849977319	59	62	1	TBC1D22A	1	1
hsa-miR-504-5p	Excitatory Neuron	0.524290520209076	0.372388683408295	76	698	1	RORA	1	1
hsa-miR-504-5p	Granule cell	1	0	76	122	0		1	1
hsa-miR-504-5p	Inhibitory Neuron	0.714406087398566	1.05855216411047	76	504	2	MACROD2, RORA	1	1
hsa-miR-504-5p	Purkinje Cell	0.193338490914979	2.53108646870045	76	215	2	RORA, MACROD2	1	1
hsa-miR-504-5p	Endothelial cell	0.162240968188868	5.82954249657248	76	47	1	GPCPD1	1	1
hsa-miR-504-5p	Pericyte	0.199315860036311	4.62097671376185	76	59	1	RORA	1	1
hsa-miR-504-5p	Astrocyte	0.401528153525586	1.97797959495369	76	136	1	RORA	1	1
hsa-miR-504-5p	Cerebellar Astrocyte	0.471899933907802	1.58683608327776	76	169	1	RORA	1	1
hsa-miR-504-5p	Oligodendrocyte	0.408290482963667	1.93469748146093	76	139	1	TRIM2	1	1
hsa-miR-504-5p	Oligodendrocyte Precursor Cell	1	0	76	114	0		1	1
hsa-miR-504-5p	Cerebelllar Oligodendrocyte Precursor Cell	1	0	76	157	0		1	1
hsa-miR-504-5p	Microglia	1	0	76	62	0		1	1
hsa-miR-485-3p	Excitatory Neuron	0.00189174820582023	3.89434502290926	66	698	8	NTRK3, FOCAD, YWHAG, IDS, PJA2, RORA, MGAT5, RPS4X	0.439058988181781	1
hsa-miR-485-3p	Granule cell	0.329474682564471	2.54932580362295	66	122	1	MAML3	1	1
hsa-miR-485-3p	Inhibitory Neuron	0.0821496625401823	2.53826523987519	66	504	4	MGAT5, RORA, NBEA, PPARGC1A	1	1
hsa-miR-485-3p	Purkinje Cell	0.155456899126508	2.92807444704541	66	215	2	RORA, NBEA	1	1
hsa-miR-485-3p	Endothelial cell	1	0	66	47	0		1	1
hsa-miR-485-3p	Pericyte	0.175511702204026	5.33518004022167	66	59	1	RORA	1	1
hsa-miR-485-3p	Astrocyte	0.00997737063018031	7.17399865839076	66	136	3	DST, RORA, MKLN1	0.725364169459557	1
hsa-miR-485-3p	Cerebellar Astrocyte	0.105241586132084	3.7432544309844	66	169	2	RORA, RPS6KA5	1	1
hsa-miR-485-3p	Oligodendrocyte	0.365920855420599	2.23341691704041	66	139	1	DST	1	1
hsa-miR-485-3p	Oligodendrocyte Precursor Cell	1	0	66	114	0		1	1
hsa-miR-485-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.0930234194735797	4.03557948856517	66	157	2	PBRM1, MKLN1	1	1
hsa-miR-485-3p	Microglia	0.183575299185125	5.07205160144425	66	62	1	MAML3	1	1
hsa-miR-451a	Excitatory Neuron	0.150240472107295	3.11636080581043	20	698	2	CUX2, MAPK1	1	1
hsa-miR-451a	Granule cell	1	0	20	122	0		1	1
hsa-miR-451a	Inhibitory Neuron	1	0	20	504	0		1	1
hsa-miR-451a	Purkinje Cell	1	0	20	215	0		1	1
hsa-miR-451a	Endothelial cell	0.0454553515908708	23.0642485637175	20	47	1	ABCB1	1	1
hsa-miR-451a	Pericyte	1	0	20	59	0		1	1
hsa-miR-451a	Astrocyte	1	0	20	136	0		1	1
hsa-miR-451a	Cerebellar Astrocyte	0.154464028507098	6.27995958213478	20	169	1	ZDHHC14	1	1
hsa-miR-451a	Oligodendrocyte	1	0	20	139	0		1	1
hsa-miR-451a	Oligodendrocyte Precursor Cell	1	0	20	114	0		1	1
hsa-miR-451a	Cerebelllar Oligodendrocyte Precursor Cell	1	0	20	157	0		1	1
hsa-miR-451a	Microglia	1	0	20	62	0		1	1
hsa-miR-429	Excitatory Neuron	0.792552438425368	1.05679259538225	110	698	4	TUBB2A, CACNG8, ATP6V1E1, DLC1	1	1
hsa-miR-429	Granule cell	0.486695327530679	1.51694586385401	110	122	1	ZFPM2	1	1
hsa-miR-429	Inhibitory Neuron	0.755604358584708	1.09843272069621	110	504	3	ZEB2, GOT1, CACNG8	1	1
hsa-miR-429	Purkinje Cell	0.112327560477629	2.63379899978265	110	215	3	ZFPM2, PPM1H, PTPN4	1	1
hsa-miR-429	Endothelial cell	0.226195827810264	4.00498673820412	110	47	1	DLC1	1	1
hsa-miR-429	Pericyte	0.0409743973659788	6.5193451516159	110	59	2	DLC1, ZEB1	1	1
hsa-miR-429	Astrocyte	0.524635223222633	1.35872353281047	110	136	1	PSD3	1	1
